reference_id,split
I31,train
I01,train
I23,train
I32,train
I19,train
I29,train
I11,train
I71,train
I05,train
I13,train
I50,train
I34,train
I68,train
I36,train
I69,train
I46,train
I74,train
I62,train
I56,train
I41,train
I10,train
I65,train
I06,train
I48,train
I35,train
I63,train
I43,train
I55,train
I17,train
I40,train
I57,train
I81,train
I08,train
I51,train
I54,train
I20,train
I67,train
I26,train
I45,train
I14,train
I78,train
I04,train
I18,train
I39,train
I09,train
I66,train
I07,train
I37,train
I73,train
I59,train
I47,train
I80,train
I16,train
I28,train
I42,train
I27,train
I49,train
I25,train
I44,train
I79,train
I58,train
I12,train
I33,train
I77,train
I60,train
I64,val
I70,val
I38,val
I30,val
I02,val
I53,val
I22,val
I03,val
I24,test
I76,test
I75,test
I21,test
I61,test
I72,test
I15,test
I52,test
